eligibility	ineligibility_reason	transaction_month	client_gstin	customer_gstin	supplier_name	invoice_no	transaction_no	document_date	total_taxable_value	gst_rate	igst	cgst	sgst	igst_not_eligible	cgst_not_eligible	sgst_not_eligible	cess	difference_in_amount	hsn	total_value	date_of_entry_in_the_books	date_of_payment_to_vendor	date_of_payment_of_tax_in_case_of_rcm	gstr_2a_month	month_of_availment	reversal_to_be_made	remarks	cy_py_flag	intra_state_flag	inter_state_flag	crossing_180_day	itc_transportation_of_passengers	purchase_of_vehicle	personal_consumption	health_insurance	life_insurance	construction	custom_search	rcm_eligibility
Eligible	Missing Pay date Values	May-2021	29AADCM7259F1Z6	29AAACZ1324R1ZT	Demo Supp Name	HN346/2021-2022	B1/OBI/00223/21-22	04/May/2021	155610.0	18.0	0	14004.9	14004.9	0	0	0		0.0		183619.8	19/May/2021						RETAINER FEES FOR PROVIDING EMPLOYEE ASSISTANCE PROGRAMME FOR THE PERIOD 01.04.2021 TO 30.04.2021	Eligible	Eligible	Eligible	NA	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	NA	No
Eligible	NA	May-2021	29AADCM7259F1Z6	29AAACZ1324R1ZT	Demo Supp Name	HN3209/2020-2021	B1/OBI/00145/21-22	29/Mar/2021	15000.0	18.0	0	1350	1350	0	0	0		0.0		17700.0	04/May/2021	07/May/2021					BEING CHARGES TOWARDS WOMEN DAY TALK IN MARCH MONTH	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	NA	No
Ineligible	Personal Consumption	May-2021	29AADCM7259F1Z6	33AAECS7375K2ZX	Demo Supp Name	ACMP/21-22/157	B1/DPE/00019/21-22	29/Apr/2021	794.64	0.0	0	0	0	143.04	0	0		-143.0		937.68	24/May/2021	28/May/2021					employee gift for April month 2021	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Ineligible	Eligible	Eligible	Eligible	NA	No
Ineligible	Personal Consumption	May-2021	29AADCM7259F1Z6	33AAECS7375K2ZX	Demo Supp Name	ACP/21-22/163	B1/DPE/00021/21-22	26/Apr/2021	591.67	0.0	0	0	0	106.5	0	0		-107.0		698.17	24/May/2021	28/May/2021					Employees gift for April month 2021	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Ineligible	Eligible	Eligible	Eligible	NA	No
Ineligible	Personal Consumption	May-2021	29AADCM7259F1Z6	33AAECS7375K2ZX	Demo Supp Name	ACP/21-22/162	B1/DPE/00023/21-22	22/Apr/2021	400.5	0.0	0	0	0	72.09	0	0		-72.0		472.59000000000003	24/May/2021	28/May/2021					Employee gift for April month 2021	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Ineligible	Eligible	Eligible	Eligible	NA	No
Ineligible	Personal Consumption	May-2021	29AADCM7259F1Z6	33AAECS7375K2ZX	Demo Supp Name	ACP/21-22/162	B1/DPE/00023/21-22	22/Apr/2021	1294.4	0.0	0	0	0	232.99	0	0		-233.0		1527.39	24/May/2021	28/May/2021					Employee gift for April month 2021	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Ineligible	Eligible	Eligible	Eligible	NA	No
Ineligible	Personal Consumption	May-2021	29AADCM7259F1Z6	33AAECS7375K2ZX	Demo Supp Name	ACP/21-22/159	B1/DPE/00020/21-22	02/Apr/2021	538.7	0.0	0	0	0	96.97	0	0		-97.0		635.6700000000001	24/May/2021	28/May/2021					Employee gift for april month 2021	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Ineligible	Eligible	Eligible	Eligible	NA	No
Ineligible	Personal Consumption	May-2021	29AADCM7259F1Z6	33AAECS7375K2ZX	Demo Supp Name	ACP/21-22/159	B1/DPE/00020/21-22	02/Apr/2021	491.19	0.0	0	0	0	88.41	0	0		-88.0		579.6	24/May/2021	28/May/2021					Employee gift for april month 2021	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Ineligible	Eligible	Eligible	Eligible	NA	No
Ineligible	Personal Consumption	May-2021	29AADCM7259F1Z6	33AAECS7375K2ZX	Demo Supp Name	ACP/21-22/162	B1/DPE/00023/21-22	22/Apr/2021	840.56	0.0	0	0	0	151.3	0	0		-151.0		991.8599999999999	24/May/2021	28/May/2021					Employee gift for April month 2021	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Ineligible	Eligible	Eligible	Eligible	NA	No
Ineligible	Personal Consumption	May-2021	29AADCM7259F1Z6	33AAECS7375K2ZX	Demo Supp Name	ACP/21-22/163	B1/DPE/00021/21-22	26/Apr/2021	995.86	0.0	0	0	0	119.5	0	0		-120.0		1115.3600000000001	24/May/2021	28/May/2021					Employees gift for April month 2021	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Ineligible	Eligible	Eligible	Eligible	NA	No
